dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,pretrained,1,contrast_up,2,0.9867345502282888,0.9813775984535342,0.018622401546465772,0.879682725075898,0.9653345476239102,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,1,contrast_up,3,0.9867345502282888,0.9687492460256117,0.03125075397438826,0.879682725075898,0.9653345476239102,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,1,contrast_up,4,0.9867345502282888,0.9406792366118719,0.059320763388128084,0.879682725075898,0.9653345476239102,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,1,contrast_up,5,0.9867345502282888,0.8950999929051193,0.10490000709488068,0.879682725075898,0.9653345476239102,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,2,contrast_up,1,0.9911905785219126,0.9895116097457434,0.01048839025425663,0.7073465531121396,0.831191707458302,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,2,contrast_up,2,0.9911905785219126,0.9860547315262929,0.01394526847370714,0.7073465531121396,0.831191707458302,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,2,contrast_up,3,0.9911905785219126,0.9763601409290595,0.02363985907094046,0.7073465531121396,0.831191707458302,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,2,contrast_up,4,0.9911905785219126,0.9562748733496895,0.043725126650310475,0.7073465531121396,0.831191707458302,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,2,contrast_up,5,0.9911905785219126,0.9073452176997812,0.09265478230021884,0.7073465531121396,0.831191707458302,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,3,contrast_up,1,0.9910253517357612,0.987267522500899,0.012732477499101003,0.966164601373467,1.2258441349564408,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,3,contrast_up,2,0.9910253517357612,0.9826575567426024,0.017342443257397644,0.966164601373467,1.2258441349564408,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,3,contrast_up,3,0.9910253517357612,0.9713527905644179,0.028647209435582077,0.966164601373467,1.2258441349564408,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,3,contrast_up,4,0.9910253517357612,0.9284412890067406,0.07155871099325939,0.966164601373467,1.2258441349564408,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,3,contrast_up,5,0.9910253517357612,0.8783359200667615,0.12166407993323847,0.966164601373467,1.2258441349564408,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,4,contrast_up,1,0.9920144566582404,0.9897458709339334,0.010254129066066597,0.5992468830961264,0.6887022825805639,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,4,contrast_up,2,0.9920144566582404,0.9890599909555308,0.010940009044469234,0.5992468830961264,0.6887022825805639,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,4,contrast_up,3,0.9920144566582404,0.980895157519518,0.019104842480482054,0.5992468830961264,0.6887022825805639,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,4,contrast_up,4,0.9920144566582404,0.9587390474213713,0.04126095257862872,0.5992468830961264,0.6887022825805639,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,4,contrast_up,5,0.9920144566582404,0.9252954535172317,0.07470454648276825,0.5992468830961264,0.6887022825805639,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,0,contrast_up,1,0.986881642329062,0.9692536707689121,0.030746329231087888,1.8256977811729462,2.4300724541175085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,0,contrast_up,2,0.986881642329062,0.95184216373846,0.04815783626154002,1.8256977811729462,2.4300724541175085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,0,contrast_up,3,0.986881642329062,0.9229437835469689,0.07705621645303107,1.8256977811729462,2.4300724541175085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,0,contrast_up,4,0.986881642329062,0.8810623093266163,0.11893769067338367,1.8256977811729462,2.4300724541175085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,0,contrast_up,5,0.986881642329062,0.7988143051014824,0.20118569489851756,1.8256977811729462,2.4300724541175085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,1,contrast_up,1,0.9886038123934132,0.9740235389158203,0.025976461084179725,2.5184310871854914,3.5504353440930085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,1,contrast_up,2,0.9886038123934132,0.9435718296863934,0.056428170313606585,2.5184310871854914,3.5504353440930085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,1,contrast_up,3,0.9886038123934132,0.9000928019942387,0.09990719800576131,2.5184310871854914,3.5504353440930085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,1,contrast_up,4,0.9886038123934132,0.8164709371394343,0.1835290628605657,2.5184310871854914,3.5504353440930085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,1,contrast_up,5,0.9886038123934132,0.7091143668857953,0.2908856331142047,2.5184310871854914,3.5504353440930085,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,2,contrast_up,1,0.978331286151004,0.9615285374733848,0.03847146252661515,1.9989514272246693,2.4444415115993263,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,2,contrast_up,2,0.978331286151004,0.9380103193803591,0.06198968061964094,1.9989514272246693,2.4444415115993263,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,2,contrast_up,3,0.978331286151004,0.9080463785187264,0.09195362148127362,1.9989514272246693,2.4444415115993263,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,2,contrast_up,4,0.978331286151004,0.8648193581743338,0.13518064182566625,1.9989514272246693,2.4444415115993263,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,2,contrast_up,5,0.978331286151004,0.8063326123743692,0.19366738762563085,1.9989514272246693,2.4444415115993263,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,3,contrast_up,1,0.9881007357017896,0.9775199605025662,0.022480039497433824,1.8463709051031676,2.498070574852933,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,3,contrast_up,2,0.9881007357017896,0.96283519827568,0.03716480172432002,1.8463709051031676,2.498070574852933,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,3,contrast_up,3,0.9881007357017896,0.9295043404262038,0.07049565957379622,1.8463709051031676,2.498070574852933,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,3,contrast_up,4,0.9881007357017896,0.8733710275912951,0.12662897240870485,1.8463709051031676,2.498070574852933,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,3,contrast_up,5,0.9881007357017896,0.7752948141445393,0.22470518585546073,1.8463709051031676,2.498070574852933,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,4,contrast_up,1,0.988147309202292,0.976928442331255,0.023071557668745024,1.7829000889703954,2.4014678460941776,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,4,contrast_up,2,0.988147309202292,0.963998381293768,0.036001618706231975,1.7829000889703954,2.4014678460941776,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,4,contrast_up,3,0.988147309202292,0.9323560615503651,0.0676439384496349,1.7829000889703954,2.4014678460941776,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,4,contrast_up,4,0.988147309202292,0.8811686284993416,0.11883137150065837,1.7829000889703954,2.4014678460941776,True,True,0.05215362284240639,0.0337843407481397
blood,scratch,4,contrast_up,5,0.988147309202292,0.7806249922959962,0.21937500770400375,1.7829000889703954,2.4014678460941776,True,True,0.05215362284240639,0.0337843407481397
